M,L,63,0,485
S,M,0,63,485
L,S,63,63,422
S,M,0,126,422
L,S,63,126,359
S,M,0,189,359
L,S,63,189,296
S,M,0,252,296
L,S,63,252,233
S,M,0,315,233
L,S,63,315,170
S,M,0,378,170
L,S,63,378,107
S,M,0,441,107
L,S,63,441,44
S,M,19,485,44
M,L,19,0,529
S,M,0,19,529
L,S,63,19,466
S,M,0,82,466
L,S,63,82,403
S,M,0,145,403
L,S,63,145,340
S,M,0,208,340
L,S,63,208,277
S,M,0,271,277
L,S,63,271,214
S,M,0,334,214
L,S,63,334,151
S,M,0,397,151
L,S,63,397,88
S,M,0,460,88
L,S,63,460,25
S,M,38,485,25
M,L,38,0,510
S,M,0,38,510
L,S,63,38,447
S,M,0,101,447
L,S,63,101,384
S,M,0,164,384
L,S,63,164,321
S,M,0,227,321
L,S,63,227,258
S,M,0,290,258
L,S,63,290,195
S,M,0,353,195
L,S,63,353,132
S,M,0,416,132
L,S,63,416,69
S,M,0,479,69
L,S,63,479,6
S,M,57,485,6
M,L,57,0,491
S,M,0,57,491
L,S,63,57,428
S,M,0,120,428
L,S,63,120,365
S,M,0,183,365
L,S,63,183,302
S,M,0,246,302
L,S,63,246,239
S,M,0,309,239
L,S,63,309,176
S,M,0,372,176
L,S,63,372,113
S,M,0,435,113
L,S,63,435,50
S,M,13,485,50
M,L,13,0,535
S,M,0,13,535
L,S,63,13,472
S,M,0,76,472
L,S,63,76,409
S,M,0,139,409
L,S,63,139,346
S,M,0,202,346
L,S,63,202,283
S,M,0,265,283
L,S,63,265,220
S,M,0,328,220
L,S,63,328,157
S,M,0,391,157
L,S,63,391,94
S,M,0,454,94
L,S,63,454,31
S,M,32,485,31
M,L,32,0,516
S,M,0,32,516
L,S,63,32,453
S,M,0,95,453
L,S,63,95,390
S,M,0,158,390
L,S,63,158,327
S,M,0,221,327
L,S,63,221,264
S,M,0,284,264
L,S,63,284,201
S,M,0,347,201
L,S,63,347,138
S,M,0,410,138
L,S,63,410,75
S,M,0,473,75
L,S,63,473,12
S,M,51,485,12
M,L,51,0,497
S,M,0,51,497
L,S,63,51,434
S,M,0,114,434
L,S,63,114,371
S,M,0,177,371
L,S,63,177,308
S,M,0,240,308
L,S,63,240,245
S,M,0,303,245
L,S,63,303,182
S,M,0,366,182
L,S,63,366,119
S,M,0,429,119
L,S,63,429,56
S,M,7,485,56
M,L,7,0,541
S,M,0,7,541
L,S,63,7,478
S,M,0,70,478
L,S,63,70,415
S,M,0,133,415
L,S,63,133,352
S,M,0,196,352
L,S,63,196,289
S,M,0,259,289
L,S,63,259,226
S,M,0,322,226
L,S,63,322,163
S,M,0,385,163
L,S,63,385,100
S,M,0,448,100
L,S,63,448,37
S,M,26,485,37
M,L,26,0,522
S,M,0,26,522
L,S,63,26,459
S,M,0,89,459
L,S,63,89,396
S,M,0,152,396
L,S,63,152,333
S,M,0,215,333
L,S,63,215,270
S,M,0,278,270
L,S,63,278,207
S,M,0,341,207
L,S,63,341,144
S,M,0,404,144
L,S,63,404,81
S,M,0,467,81
L,S,63,467,18
S,M,45,485,18
M,L,45,0,503
S,M,0,45,503
L,S,63,45,440
S,M,0,108,440
L,S,63,108,377
S,M,0,171,377
L,S,63,171,314
S,M,0,234,314
L,S,63,234,251
S,M,0,297,251
L,S,63,297,188
S,M,0,360,188
L,S,63,360,125
S,M,0,423,125
L,S,63,423,62
S,M,1,485,62
