L,M,52,4321,1182
M,S,1234,3139,1182
S,L,0,3139,2416
M,S,1234,1905,2416
S,L,0,1905,3650
M,S,1234,671,3650
S,L,0,671,4884
M,S,671,0,4884
L,M,671,4321,563
M,S,1234,3758,563
S,L,0,3758,1797
M,S,1234,2524,1797
S,L,0,2524,3031
M,S,1234,1290,3031
S,L,0,1290,4265
M,S,1234,56,4265
S,L,0,56,5499
M,S,56,0,5499
L,M,56,4321,1178
M,S,1234,3143,1178
S,L,0,3143,2412
M,S,1234,1909,2412
S,L,0,1909,3646
M,S,1234,675,3646
S,L,0,675,4880
M,S,675,0,4880
L,M,675,4321,559
M,S,1234,3762,559
S,L,0,3762,1793
M,S,1234,2528,1793
S,L,0,2528,3027
M,S,1234,1294,3027
S,L,0,1294,4261
M,S,1234,60,4261
S,L,0,60,5495
M,S,60,0,5495
L,M,60,4321,1174
M,S,1234,3147,1174
S,L,0,3147,2408
M,S,1234,1913,2408
S,L,0,1913,3642
M,S,1234,679,3642
S,L,0,679,4876
M,S,679,0,4876
L,M,679,4321,555
M,S,1234,3766,555
S,L,0,3766,1789
M,S,1234,2532,1789
S,L,0,2532,3023
M,S,1234,1298,3023
S,L,0,1298,4257
M,S,1234,64,4257
S,L,0,64,5491
M,S,64,0,5491
L,M,64,4321,1170
M,S,1234,3151,1170
S,L,0,3151,2404
M,S,1234,1917,2404
S,L,0,1917,3638
M,S,1234,683,3638
S,L,0,683,4872
M,S,683,0,4872
L,M,683,4321,551
M,S,1234,3770,551
S,L,0,3770,1785
M,S,1234,2536,1785
S,L,0,2536,3019
M,S,1234,1302,3019
S,L,0,1302,4253
M,S,1234,68,4253
S,L,0,68,5487
M,S,68,0,5487
L,M,68,4321,1166
M,S,1234,3155,1166
S,L,0,3155,2400
M,S,1234,1921,2400
S,L,0,1921,3634
M,S,1234,687,3634
S,L,0,687,4868
M,S,687,0,4868
L,M,687,4321,547
M,S,1234,3774,547
S,L,0,3774,1781
M,S,1234,2540,1781
S,L,0,2540,3015
M,S,1234,1306,3015
S,L,0,1306,4249
M,S,1234,72,4249
S,L,0,72,5483
M,S,72,0,5483
L,M,72,4321,1162
M,S,1234,3159,1162
S,L,0,3159,2396
M,S,1234,1925,2396
S,L,0,1925,3630
M,S,1234,691,3630
S,L,0,691,4864
M,S,691,0,4864
L,M,691,4321,543
M,S,1234,3778,543
S,L,0,3778,1777
M,S,1234,2544,1777
S,L,0,2544,3011
M,S,1234,1310,3011
S,L,0,1310,4245
M,S,1234,76,4245
S,L,0,76,5479
M,S,76,0,5479
L,M,76,4321,1158
M,S,1234,3163,1158
S,L,0,3163,2392
M,S,1234,1929,2392
S,L,0,1929,3626
M,S,1234,695,3626
S,L,0,695,4860
M,S,695,0,4860
L,M,695,4321,539
M,S,1234,3782,539
S,L,0,3782,1773
M,S,1234,2548,1773
S,L,0,2548,3007
M,S,1234,1314,3007
S,L,0,1314,4241
M,S,1234,80,4241
S,L,0,80,5475
M,S,80,0,5475
L,M,80,4321,1154
M,S,1234,3167,1154
S,L,0,3167,2388
M,S,1234,1933,2388
S,L,0,1933,3622
M,S,1234,699,3622
S,L,0,699,4856
M,S,699,0,4856
L,M,699,4321,535
M,S,1234,3786,535
S,L,0,3786,1769
M,S,1234,2552,1769
S,L,0,2552,3003
M,S,1234,1318,3003
S,L,0,1318,4237
M,S,1234,84,4237
S,L,0,84,5471
M,S,84,0,5471
L,M,84,4321,1150
M,S,1234,3171,1150
S,L,0,3171,2384
M,S,1234,1937,2384
S,L,0,1937,3618
M,S,1234,703,3618
S,L,0,703,4852
M,S,703,0,4852
L,M,703,4321,531
M,S,1234,3790,531
S,L,0,3790,1765
M,S,1234,2556,1765
S,L,0,2556,2999
M,S,1234,1322,2999
S,L,0,1322,4233
M,S,1234,88,4233
S,L,0,88,5467
M,S,88,0,5467
L,M,88,4321,1146
M,S,1234,3175,1146
S,L,0,3175,2380
M,S,1234,1941,2380
S,L,0,1941,3614
M,S,1234,707,3614
S,L,0,707,4848
M,S,707,0,4848
L,M,707,4321,527
M,S,1234,3794,527
S,L,0,3794,1761
M,S,1234,2560,1761
S,L,0,2560,2995
M,S,1234,1326,2995
S,L,0,1326,4229
M,S,1234,92,4229
S,L,0,92,5463
M,S,92,0,5463
L,M,92,4321,1142
M,S,1234,3179,1142
S,L,0,3179,2376
M,S,1234,1945,2376
S,L,0,1945,3610
M,S,1234,711,3610
S,L,0,711,4844
M,S,711,0,4844
L,M,711,4321,523
M,S,1234,3798,523
S,L,0,3798,1757
M,S,1234,2564,1757
S,L,0,2564,2991
M,S,1234,1330,2991
S,L,0,1330,4225
M,S,1234,96,4225
S,L,0,96,5459
M,S,96,0,5459
L,M,96,4321,1138
M,S,1234,3183,1138
S,L,0,3183,2372
M,S,1234,1949,2372
S,L,0,1949,3606
M,S,1234,715,3606
S,L,0,715,4840
M,S,715,0,4840
L,M,715,4321,519
M,S,1234,3802,519
S,L,0,3802,1753
M,S,1234,2568,1753
S,L,0,2568,2987
M,S,1234,1334,2987
S,L,0,1334,4221
M,S,1234,100,4221
S,L,0,100,5455
M,S,100,0,5455
L,M,100,4321,1134
M,S,1234,3187,1134
S,L,0,3187,2368
M,S,1234,1953,2368
S,L,0,1953,3602
M,S,1234,719,3602
S,L,0,719,4836
M,S,719,0,4836
L,M,719,4321,515
M,S,1234,3806,515
S,L,0,3806,1749
M,S,1234,2572,1749
S,L,0,2572,2983
M,S,1234,1338,2983
S,L,0,1338,4217
M,S,1234,104,4217
S,L,0,104,5451
M,S,104,0,5451
L,M,104,4321,1130
M,S,1234,3191,1130
S,L,0,3191,2364
M,S,1234,1957,2364
S,L,0,1957,3598
M,S,1234,723,3598
S,L,0,723,4832
M,S,723,0,4832
L,M,723,4321,511
M,S,1234,3810,511
S,L,0,3810,1745
M,S,1234,2576,1745
S,L,0,2576,2979
M,S,1234,1342,2979
S,L,0,1342,4213
M,S,1234,108,4213
S,L,0,108,5447
M,S,108,0,5447
L,M,108,4321,1126
M,S,1234,3195,1126
S,L,0,3195,2360
M,S,1234,1961,2360
S,L,0,1961,3594
M,S,1234,727,3594
S,L,0,727,4828
M,S,727,0,4828
L,M,727,4321,507
M,S,1234,3814,507
S,L,0,3814,1741
M,S,1234,2580,1741
S,L,0,2580,2975
M,S,1234,1346,2975
S,L,0,1346,4209
M,S,1234,112,4209
S,L,0,112,5443
M,S,112,0,5443
L,M,112,4321,1122
M,S,1234,3199,1122
S,L,0,3199,2356
M,S,1234,1965,2356
S,L,0,1965,3590
M,S,1234,731,3590
S,L,0,731,4824
M,S,731,0,4824
L,M,731,4321,503
M,S,1234,3818,503
S,L,0,3818,1737
M,S,1234,2584,1737
S,L,0,2584,2971
M,S,1234,1350,2971
S,L,0,1350,4205
M,S,1234,116,4205
S,L,0,116,5439
M,S,116,0,5439
L,M,116,4321,1118
M,S,1234,3203,1118
S,L,0,3203,2352
M,S,1234,1969,2352
S,L,0,1969,3586
M,S,1234,735,3586
S,L,0,735,4820
M,S,735,0,4820
L,M,735,4321,499
M,S,1234,3822,499
S,L,0,3822,1733
