M,L,485,0,6249
S,M,0,485,6249
L,S,485,485,5764
S,M,0,970,5764
L,S,485,970,5279
S,M,0,1455,5279
L,S,485,1455,4794
S,M,0,1940,4794
L,S,485,1940,4309
S,M,0,2425,4309
L,S,485,2425,3824
S,M,0,2910,3824
L,S,485,2910,3339
S,M,0,3395,3339
L,S,485,3395,2854
S,M,0,3880,2854
L,S,485,3880,2369
S,M,0,4365,2369
L,S,485,4365,1884
S,M,0,4850,1884
L,S,485,4850,1399
S,M,0,5335,1399
L,S,485,5335,914
S,M,0,5820,914
L,S,485,5820,429
S,M,56,6249,429
M,L,56,0,6678
S,M,0,56,6678
L,S,485,56,6193
S,M,0,541,6193
L,S,485,541,5708
S,M,0,1026,5708
L,S,485,1026,5223
S,M,0,1511,5223
L,S,485,1511,4738
S,M,0,1996,4738
L,S,485,1996,4253
S,M,0,2481,4253
L,S,485,2481,3768
S,M,0,2966,3768
L,S,485,2966,3283
S,M,0,3451,3283
L,S,485,3451,2798
S,M,0,3936,2798
L,S,485,3936,2313
S,M,0,4421,2313
L,S,485,4421,1828
S,M,0,4906,1828
L,S,485,4906,1343
S,M,0,5391,1343
L,S,485,5391,858
S,M,0,5876,858
L,S,485,5876,373
S,M,112,6249,373
M,L,112,0,6622
S,M,0,112,6622
L,S,485,112,6137
S,M,0,597,6137
L,S,485,597,5652
S,M,0,1082,5652
L,S,485,1082,5167
S,M,0,1567,5167
L,S,485,1567,4682
S,M,0,2052,4682
L,S,485,2052,4197
S,M,0,2537,4197
L,S,485,2537,3712
S,M,0,3022,3712
L,S,485,3022,3227
S,M,0,3507,3227
L,S,485,3507,2742
S,M,0,3992,2742
L,S,485,3992,2257
S,M,0,4477,2257
L,S,485,4477,1772
S,M,0,4962,1772
L,S,485,4962,1287
S,M,0,5447,1287
L,S,485,5447,802
S,M,0,5932,802
L,S,485,5932,317
S,M,168,6249,317
M,L,168,0,6566
S,M,0,168,6566
L,S,485,168,6081
S,M,0,653,6081
L,S,485,653,5596
S,M,0,1138,5596
L,S,485,1138,5111
S,M,0,1623,5111
L,S,485,1623,4626
S,M,0,2108,4626
L,S,485,2108,4141
S,M,0,2593,4141
L,S,485,2593,3656
S,M,0,3078,3656
L,S,485,3078,3171
S,M,0,3563,3171
L,S,485,3563,2686
S,M,0,4048,2686
L,S,485,4048,2201
S,M,0,4533,2201
L,S,485,4533,1716
S,M,0,5018,1716
L,S,485,5018,1231
